                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.995,                 4.1095,                 1.3858,                0.00131,                0.22222,                0.00156,                0.00042,                 2.2422,                 4.2421,                 1.5768,                 0.0991,                 0.0001,                 0.0001
                      2,                 1.5711,                 3.5797,                 1.1181,                0.00079,                0.22222,                0.02456,                0.01177,                 2.3115,                 4.1579,                 1.6384,               0.097297,             0.00029703,             0.00029703
                      3,                 1.4624,                 3.0146,                 1.0827,                0.00079,                0.22222,                0.02456,                0.01177,                 2.5041,                  4.484,                 2.1822,                0.09549,              0.0004901,              0.0004901
                      4,                  1.451,                 2.5264,                 1.1125,                0.06035,                0.33333,                0.09013,                0.03622,                 2.1719,                  4.259,                 1.9489,               0.093679,             0.00067921,             0.00067921
                      5,                 1.3738,                 2.6262,                 1.0662,                0.38963,                0.38889,                0.29268,                0.20103,                 1.9318,                 4.0599,                 1.5932,               0.091864,             0.00086436,             0.00086436
                      6,                 1.2694,                  2.199,                  1.019,                0.08408,                0.27778,                0.09866,                 0.0397,                 2.1085,                 4.2904,                 2.0348,               0.090046,              0.0010455,              0.0010455
                      7,                 1.3816,                 2.1662,                 1.0396,                0.03919,                0.83333,                0.26797,                0.14293,                 1.5841,                 3.6821,                  1.322,               0.088223,              0.0012228,              0.0012228
                      8,                  1.328,                 2.1295,                0.99577,                 0.7488,                0.16667,                0.37645,                0.21393,                 1.5305,                 2.7456,                 1.4258,               0.086396,               0.001396,               0.001396
                      9,                 1.4559,                 2.1577,                 1.1338,                0.56479,                 0.3946,                0.41501,                0.22294,                 1.6556,                 2.5177,                 1.6331,               0.084565,              0.0015654,              0.0015654
                     10,                 1.2738,                 1.9962,                  1.054,                0.63322,                0.35185,                0.43579,                0.28366,                 1.3333,                 2.4181,                 1.4181,               0.082731,              0.0017307,              0.0017307
                     11,                 1.3124,                 1.9153,                 1.1164,                0.68809,                0.36611,                0.41019,                0.27757,                 1.3776,                  2.506,                 1.2489,               0.080892,              0.0018921,              0.0018921
                     12,                 1.2566,                 1.7618,                 1.0783,                0.24515,                0.27778,                0.27819,                0.19365,                 1.3922,                 2.9455,                 1.3211,                0.07905,              0.0020495,              0.0020495
                     13,                 1.2859,                 1.6736,                 1.1056,                0.02237,                0.77778,                0.21059,                0.12004,                 1.4268,                 3.3599,                 1.4234,               0.077203,               0.002203,               0.002203
                     14,                 1.2626,                 1.8207,                 1.0516,                0.02563,                0.77778,                0.22817,                0.13878,                 1.6817,                 3.4395,                 1.3743,               0.075353,              0.0023525,              0.0023525
                     15,                  1.461,                 1.8052,                 1.1426,                 0.5215,                0.16667,                 0.2145,                0.13809,                 1.7634,                 3.1683,                 1.4364,               0.073498,              0.0024981,              0.0024981
                     16,                 1.2947,                 1.6882,                 1.0545,                0.02277,                0.83333,                0.26827,                 0.1764,                 1.6593,                 3.2189,                 1.3802,                0.07164,              0.0026396,              0.0026396
                     17,                 1.3589,                 1.7851,                 1.1125,                0.02212,                0.72222,                0.08447,                0.03776,                 1.8694,                 4.0841,                 1.5923,               0.069777,              0.0027773,              0.0027773
                     18,                 1.2778,                 1.4748,                 1.0351,                0.03611,                0.77778,                0.08047,                0.04208,                  1.711,                 3.9477,                 1.5786,               0.067911,              0.0029109,              0.0029109
                     19,                  1.308,                 1.5308,                 1.0307,                0.02647,                0.83333,                0.14392,                0.05977,                 1.8172,                 3.2353,                 1.4634,               0.066041,              0.0030407,              0.0030407
                     20,                 1.2941,                 1.4893,                 1.0859,                0.04189,                0.77778,                0.07759,                0.02956,                 2.2534,                 3.6088,                 1.8106,               0.064166,              0.0031664,              0.0031664
                     21,                 1.3616,                 1.5175,                 1.0643,                 0.0409,                0.72222,                0.05937,                0.02855,                 2.1417,                 4.4176,                 1.6124,               0.062288,              0.0032882,              0.0032882
                     22,                 1.2475,                 1.3882,                  1.079,                0.11444,                0.55556,                0.10701,                0.07995,                 1.7904,                 14.059,                 1.7144,               0.060406,               0.003406,               0.003406
                     23,                 1.2144,                 1.4093,                 1.0208,                0.33415,                0.16667,                0.19531,                0.19455,                 2.1359,                  17.36,                 2.4718,                0.05852,              0.0035199,              0.0035199
                     24,                 1.2577,                 1.3282,                   1.09,                0.33355,                0.11111,                0.19458,                0.17502,                 2.0987,                 37.384,                 2.9599,                0.05663,              0.0036298,              0.0036298
                     25,                 1.2666,                 1.3255,                 1.0632,                0.00021,                0.05556,                0.00011,                  1e-05,                 3.0436,                 249.01,                 6.5662,               0.054736,              0.0037358,              0.0037358
                     26,                 1.1931,                 1.2188,                 1.0604,                0.00019,                0.05556,                0.00011,                  1e-05,                 3.1922,                 879.34,                 9.8097,               0.052838,              0.0038378,              0.0038378
