                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.397,                 4.1544,                 1.6313,                      0,                      0,                      0,                      0,                 3.0376,                 4.4553,                 2.0254,                 0.0991,                 0.0001,                 0.0001
                      2,                 2.5671,                 4.2618,                 1.9053,                      0,                      0,                      0,                      0,                 3.0232,                 4.4433,                 1.9985,                 0.0973,              0.0002997,              0.0002997
                      3,                 2.2124,                 4.2335,                 1.6091,                      0,                      0,                      0,                      0,                 3.0049,                 4.4354,                 1.9843,               0.095499,             0.00049901,             0.00049901
                      4,                 2.4762,                 4.1316,                 1.7478,                      0,                      0,                      0,                      0,                  2.893,                 4.4557,                 1.9601,               0.093698,             0.00069792,             0.00069792
                      5,                 2.7294,                 4.3011,                 1.8491,                 0.0017,                0.27778,                0.00212,                0.00087,                 2.4081,                 4.2051,                 1.7275,               0.091896,             0.00089644,             0.00089644
                      6,                 2.1103,                 3.2976,                 1.6806,                0.00905,                0.88889,                0.16699,                0.09583,                 1.1549,                 3.4127,                 1.0122,               0.090095,              0.0010946,              0.0010946
                      7,                 1.4499,                 2.4851,                 1.2197,                0.00713,                0.66667,                0.12681,                0.06646,                 1.4808,                 3.7328,                 1.3785,               0.088292,              0.0012923,              0.0012923
                      8,                 1.4605,                 2.3506,                 1.2424,                0.00938,                0.83333,                0.18725,                0.12367,                 1.5353,                 3.2715,                 1.7805,                0.08649,              0.0014896,              0.0014896
                      9,                  1.849,                 2.7799,                 1.5432,                0.00858,                0.83333,                0.16182,                 0.1094,                 1.7302,                 3.5178,                 1.9298,               0.084687,              0.0016865,              0.0016865
                     10,                 1.4724,                 2.1771,                 1.2101,                0.00772,                    0.5,                0.04622,                0.01968,                 2.0318,                 3.7733,                 1.8949,               0.082883,              0.0018831,              0.0018831
                     11,                  1.509,                 2.1276,                 1.2795,                0.00855,                0.27778,                0.01953,                0.01587,                 1.9321,                 6.8541,                 1.6945,               0.081079,              0.0020792,              0.0020792
                     12,                 1.4362,                 2.0189,                 1.2896,                0.01852,                0.05556,                0.01198,                0.00958,                 1.5659,                 18.743,                 1.4567,               0.079275,               0.002275,               0.002275
                     13,                 1.4196,                 2.0004,                 1.2425,                 0.0393,                0.33333,                0.09232,                0.05621,                 1.5094,                 17.078,                 1.4903,                0.07747,              0.0024703,              0.0024703
                     14,                 1.4063,                 1.9414,                 1.2458,                0.01544,                0.22222,                0.01214,                0.00776,                  1.976,                 17.594,                 1.9738,               0.075665,              0.0026653,              0.0026653
                     15,                 1.3656,                 1.7334,                 1.2882,                0.01544,                0.22222,                0.01214,                0.00776,                  3.718,                 32.317,                 4.7268,                0.07386,              0.0028598,              0.0028598
                     16,                 1.2775,                 1.7549,                 1.2487,                0.01544,                0.22222,                0.01214,                0.00776,                 4.8229,                 123.14,                 12.295,               0.072054,               0.003054,               0.003054
                     17,                 1.2431,                 1.7342,                 1.2128,                0.00104,                0.05556,                0.00028,                  3e-05,                 5.4302,                 238.26,                 133.51,               0.070248,              0.0032477,              0.0032477
                     18,                 1.3408,                 1.6952,                 1.3381,                0.00019,                0.05556,                0.00017,                  2e-05,                 4.4513,                    inf,                 70.673,               0.068441,              0.0034411,              0.0034411
                     19,                 1.4388,                 1.7347,                 1.2048,                0.00019,                0.05556,                0.00017,                  2e-05,                 4.2361,                    inf,                 47.468,               0.066634,              0.0036341,              0.0036341
                     20,                 1.4651,                 1.7858,                 1.2941,                0.00019,                0.05556,                0.00017,                  2e-05,                    nan,                    nan,                    nan,               0.064827,              0.0038266,              0.0038266
                     21,                  1.377,                 1.6409,                 1.2144,                0.00019,                0.05556,                0.00017,                  2e-05,                    nan,                    nan,                    nan,               0.063019,              0.0040188,              0.0040188
                     22,                 1.4623,                   1.61,                 1.4235,                0.00019,                0.05556,                0.00017,                  2e-05,                    nan,                    nan,                    nan,               0.061211,              0.0042106,              0.0042106
                     23,                 1.3853,                 1.6206,                 1.3392,                0.00021,                0.05556,                0.00025,                0.00055,                    nan,                    nan,                    nan,               0.059402,               0.004402,               0.004402
                     24,                 1.2827,                  1.349,                 1.1349,                0.00021,                0.05556,                0.00025,                0.00055,                    nan,                    nan,                    nan,               0.057593,               0.004593,               0.004593
                     25,                 1.4335,                 1.4778,                 1.2246,                0.00021,                0.05556,                0.00025,                0.00055,                    nan,                    nan,                    nan,               0.055784,              0.0047836,              0.0047836
                     26,                 1.1877,                 1.4053,                 1.2034,                0.00021,                0.05556,                0.00025,                0.00055,                    nan,                    nan,                    nan,               0.053974,              0.0049738,              0.0049738
                     27,                 1.4585,                 1.4399,                 1.2126,                0.00021,                0.05556,                0.00025,                0.00055,                 4.4748,                    inf,                 189.33,               0.052164,              0.0051636,              0.0051636
